begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
12292,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_1_Maximum_Charging_Voltage,
12293,1,,,,,FLOAT,,,0,,0.01,,BBU_Module_1_Maximum_Charging_Current,
12294,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_1_Maximum_Charging_Temperature,
12295,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_1_Minimum_Charging_Temperature,
12296,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_1_Discharging_Cutoff_Voltage,
12297,1,,,,,FLOAT,,,0,,0.01,,BBU_Module_1_Maximum_Discharging_Current,
12298,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_1_Maximum_Discharging_Temperature,
12299,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_1_Minimum_Discharging_Temperature,
12300,1,,,,,INTEGER,,,,,,,BBU_Module_1_Firmware_CRC,
12301,1,,,,,INTEGER,,,,,,,BBU_Module_1_BMS_Data_Version,
12302,1,,,,,INTEGER,,,,,,,BBU_Module_1_BMS_Data_CRC,
12304,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_1_DC_Bus_Voltage,
12305,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_1_Battery_Pack_Voltage,
12306,1,,,,,FLOAT,,,0,,0.01,,BBU_Module_1_Current,
12307,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_1_Battery_Pack_Temperature,
12308,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_1_Remaining_Capacity,
12309,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_1_Full_Charge_Capacity,
12310,1,,,,,INTEGER,,,,,,,BBU_Module_1_SOC,
12311,1,,,,,FLAGS,,,,,,,BBU_Module_1_Battery_Status1,
,,,,0,DFET_On,,,,,,,,,
,,,,1,CFET_On,,,,,,,,,
,,,,2,Trickle_On,,,,,,,,,
,,,,3,Balancing_Charger_Control_On,,,,,,,,,
,,,,4,DFET_Enabled,,,,,,,,,
