begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
8238,1,,,,,INTEGER,,,,,,,Power_Module_1_Seconds_on_Battery,
8239,1,,,,,FLOAT,,,0,,0.1,,Power_Module_1_Battery_Voltage,
8240,1,,,,,FLOAT,,,0,,0.1,,Power_Module_1_Battery_Current,
8242,1,,,,,INTEGER,,,,,,,Power_Module_1_Input_Number_Lines,
8243,1,,,,,FLOAT,,,0,,0.1,,Power_Module_1_Input_Frequency1,
8244,1,,,,,FLOAT,,,0,,0.1,,Power_Module_1_Input_Voltage1,
8245,1,,,,,FLOAT,,,0,,0.1,,Power_Module_1_Input_Current1,
8246,1,,,,,FLOAT,,,0,,10,,Power_Module_1_Input_Power1,
8247,1,,,,,INTEGER,,,,,,,Power_Module_1_Total_Output_Power_Factor,
8248,1,,,,,INTEGER,,,,,,,Power_Module_1_Output_Source,
8249,1,,,,,FLOAT,,,0,,0.1,,Power_Module_1_Output_Frequency,
8250,1,,,,,INTEGER,,,,,,,Power_Module_1_Output_Number_Lines,
8251,1,,,,,FLOAT,,,0,,0.1,,Power_Module_1_Output_Voltage1,
8252,1,,,,,FLOAT,,,0,,0.1,,Power_Module_1_Capacitor_Voltage,
8253,1,,,,,FLOAT,,,0,,0.1,,Power_Module_1_Output_Current1,
8254,1,,,,,FLOAT,,,0,,10,,Power_Module_1_Output_Power1,
8255,1,,,,,INTEGER,,,,,,,Power_Module_1_Output_Load1,
8256,1,,,,,FLOAT,,,0,,0.1,,Power_Module_1_Output_Power_KVA,
8257,1,,,,,FLAGS,,,,,,,Power_Module_1_General_Status,
,,,,0,Module_Present,,,,,,,,,
,,,,1,Module_Off,,,,,,,,,
,,,,2,Module_Repair,,,,,,,,,
,,,,3,Module_fault_Shutdown,,,,,,,,,
8258,1,,,,,FLOAT,,,0,,0.1,,Power_Module_1_Charger_Voltage,
8262,1,,,,,INTEGER,,,,TRUE,,,Power_Module_1_Temperature_PFC,
8263,1,,,,,INTEGER,,,,TRUE,,,Power_Module_1_Temperature_DCDC,
8264,1,,,,,INTEGER,,,,TRUE,,,Power_Module_1_Temperature_Inverter,
8265,1,,,,,INTEGER,,,,TRUE,,,Power_Module_1_AMB_Temperature,
8266,1,,,,,INTEGER,,,,,,,Power_Module_1_FAN_Speed,
8272,10,,,,,STRING,,,,,,,Power_Module_1_Model_Number,
8366,1,,,,,INTEGER,,,,,,,Power_Module_2_Seconds_on_Battery,
8367,1,,,,,FLOAT,,,0,,0.1,,Power_Module_2_Battery_Voltage,
8368,1,,,,,FLOAT,,,0,,0.1,,Power_Module_2_Battery_Current,
8370,1,,,,,INTEGER,,,,,,,Power_Module_2_Input_Number_Lines,
8371,1,,,,,FLOAT,,,0,,0.1,,Power_Module_2_Input_Frequency1,
8372,1,,,,,FLOAT,,,0,,0.1,,Power_Module_2_Input_Voltage1,
8373,1,,,,,FLOAT,,,0,,0.1,,Power_Module_2_Input_Current1,
8374,1,,,,,FLOAT,,,0,,10,,Power_Module_2_Input_Power1,
8375,1,,,,,INTEGER,,,,,,,Power_Module_2_Total_Output_Power_Factor,
8376,1,,,,,INTEGER,,,,,,,Power_Module_2_Output_Source,
8377,1,,,,,FLOAT,,,0,,0.1,,Power_Module_2_Output_Frequency,
8378,1,,,,,INTEGER,,,,,,,Power_Module_2_Output_Number_Lines,
8379,1,,,,,FLOAT,,,0,,0.1,,Power_Module_2_Output_Voltage1,
8380,1,,,,,FLOAT,,,0,,0.1,,Power_Module_2_Capacitor_Voltage,
8381,1,,,,,FLOAT,,,0,,0.1,,Power_Module_2_Output_Current1,
8382,1,,,,,FLOAT,,,0,,10,,Power_Module_2_Output_Power1,
8383,1,,,,,INTEGER,,,,,,,Power_Module_2_Output_Load1,
8384,1,,,,,FLOAT,,,0,,0.1,,Power_Module_2_Output_Power_KVA,
8385,1,,,,,FLAGS,,,,,,,Power_Module_2_General_Status,
,,,,0,Module_Present,,,,,,,,,
,,,,1,Module_Off,,,,,,,,,
,,,,2,Module_Repair,,,,,,,,,
,,,,3,Module_fault_Shutdown,,,,,,,,,
8386,1,,,,,FLOAT,,,0,,0.1,,Power_Module_2_Charger_Voltage,
8390,1,,,,,INTEGER,,,,TRUE,,,Power_Module_2_Temperature_PFC,
8391,1,,,,,INTEGER,,,,TRUE,,,Power_Module_2_Temperature_DCDC,
8392,1,,,,,INTEGER,,,,TRUE,,,Power_Module_2_Temperature_Inverter,
8393,1,,,,,INTEGER,,,,TRUE,,,Power_Module_2_AMB_Temperature,
8394,1,,,,,INTEGER,,,,,,,Power_Module_2_FAN_Speed,
8400,10,,,,,STRING,,,,,,,Power_Module_2_Model_Number,
8494,1,,,,,INTEGER,,,,,,,Power_Module_3_Seconds_on_Battery,
8495,1,,,,,FLOAT,,,0,,0.1,,Power_Module_3_Battery_Voltage,
8496,1,,,,,FLOAT,,,0,,0.1,,Power_Module_3_Battery_Current,
8498,1,,,,,INTEGER,,,,,,,Power_Module_3_Input_Number_Lines,
8499,1,,,,,FLOAT,,,0,,0.1,,Power_Module_3_Input_Frequency1,
8500,1,,,,,FLOAT,,,0,,0.1,,Power_Module_3_Input_Voltage1,
8501,1,,,,,FLOAT,,,0,,0.1,,Power_Module_3_Input_Current1,
8502,1,,,,,FLOAT,,,0,,10,,Power_Module_3_Input_Power1,
8320,1,,,,,INTEGER,,,,,,,Power_Module_3_Total_Output_Power_Factor,
8504,1,,,,,INTEGER,,,,,,,Power_Module_3_Output_Source,
8505,1,,,,,FLOAT,,,0,,0.1,,Power_Module_3_Output_Frequency,
8506,1,,,,,INTEGER,,,,,,,Power_Module_3_Output_Number_Lines,
8507,1,,,,,FLOAT,,,0,,0.1,,Power_Module_3_Output_Voltage1,
8320,1,,,,,FLOAT,,,0,,0.1,,Power_Module_3_Capacitor_Voltage,
8509,1,,,,,FLOAT,,,0,,0.1,,Power_Module_3_Output_Current1,
8510,1,,,,,FLOAT,,,0,,10,,Power_Module_3_Output_Power1,
8511,1,,,,,INTEGER,,,,,,,Power_Module_3_Output_Load1,
8512,1,,,,,FLOAT,,,0,,0.1,,Power_Module_3_Output_Power_KVA,
8320,1,,,,,FLAGS,,,,,,,Power_Module_3_General_Status,
,,,,0,Module_Present,,,,,,,,,
,,,,1,Module_Off,,,,,,,,,
,,,,2,Module_Repair,,,,,,,,,
,,,,3,Module_fault_Shutdown,,,,,,,,,
8514,1,,,,,FLOAT,,,0,,0.1,,Power_Module_3_Charger_Voltage,
8320,1,,,,,INTEGER,,,,TRUE,,,Power_Module_3_Temperature_PFC,
8519,1,,,,,INTEGER,,,,TRUE,,,Power_Module_3_Temperature_DCDC,
8520,1,,,,,INTEGER,,,,TRUE,,,Power_Module_3_Temperature_Inverter,
8521,1,,,,,INTEGER,,,,TRUE,,,Power_Module_3_AMB_Temperature,
8522,1,,,,,INTEGER,,,,,,,Power_Module_3_FAN_Speed,
8528,10,,,,,STRING,,,,,,,Power_Module_3_Model_Number,
8622,1,,,,,INTEGER,,,,,,,Power_Module_4_Seconds_on_Battery,
8623,1,,,,,FLOAT,,,0,,0.1,,Power_Module_4_Battery_Voltage,
8624,1,,,,,FLOAT,,,0,,0.1,,Power_Module_4_Battery_Current,
8626,1,,,,,INTEGER,,,,,,,Power_Module_4_Input_Number_Lines,
8627,1,,,,,FLOAT,,,0,,0.1,,Power_Module_4_Input_Frequency1,
8628,1,,,,,FLOAT,,,0,,0.1,,Power_Module_4_Input_Voltage1,
8629,1,,,,,FLOAT,,,0,,0.1,,Power_Module_4_Input_Current1,
8630,1,,,,,FLOAT,,,0,,10,,Power_Module_4_Input_Power1,
8631,1,,,,,INTEGER,,,,,,,Power_Module_4_Total_Output_Power_Factor,
8632,1,,,,,INTEGER,,,,,,,Power_Module_4_Output_Source,
8633,1,,,,,FLOAT,,,0,,0.1,,Power_Module_4_Output_Frequency,
8634,1,,,,,INTEGER,,,,,,,Power_Module_4_Output_Number_Lines,
8635,1,,,,,FLOAT,,,0,,0.1,,Power_Module_4_Output_Voltage1,
8636,1,,,,,FLOAT,,,0,,0.1,,Power_Module_4_Capacitor_Voltage,
8637,1,,,,,FLOAT,,,0,,0.1,,Power_Module_4_Output_Current1,
8638,1,,,,,FLOAT,,,0,,10,,Power_Module_4_Output_Power1,
8639,1,,,,,INTEGER,,,,,,,Power_Module_4_Output_Load1,
8640,1,,,,,FLOAT,,,0,,0.1,,Power_Module_4_Output_Power_KVA,
