begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
4104,8,,,,,STRING,,,,,,,Shelf_Firmware_Version,
4112,1,,,,,STRING,,,,,,,Shelf_Series,
4160,10,,,,,STRING,,,,,,,Shelf_Model,
4170,10,,,,,STRING,,,,,,,Shelf_Model_Sub,
8192,10,,,,,STRING,,,,,,,Power_Module_1_PM_Serial_Number,
8202,8,,,,,STRING,,,,,,,Power_Module_1_Firmware_Version,
8320,10,,,,,STRING,,,,,,,Power_Module_2_PM_Serial_Number,
8330,8,,,,,STRING,,,,,,,Power_Module_2_Firmware_Version,
8448,10,,,,,STRING,,,,,,,Power_Module_3_PM_Serial_Number,
8458,8,,,,,STRING,,,,,,,Power_Module_3_Firmware_Version,
8576,10,,,,,STRING,,,,,,,Power_Module_4_PM_Serial_Number,
8586,8,,,,,STRING,,,,,,,Power_Module_4_Firmware_Version,
8704,10,,,,,STRING,,,,,,,Power_Module_5_PM_Serial_Number,
8714,8,,,,,STRING,,,,,,,Power_Module_5_Firmware_Version,
8832,10,,,,,STRING,,,,,,,Power_Module_6_PM_Serial_Number,
8842,8,,,,,STRING,,,,,,,Power_Module_6_Firmware_Version,
4112,1,,,,,INTEGER,,,,,,,Shelf_Series,
4113,1,,,,,INTEGER,,,,,,,Shelf_UPS_Type,
4114,1,,,,,INTEGER,,,,,,,Shelf_Rating_Input_Voltage,
4115,1,,,,,FLOAT,,,0,,0.1,,Shelf_Rating_Input_Frequency,
4116,1,,,,,INTEGER,,,,,,,Shelf_Rating_Output_Voltage,
4117,1,,,,,FLOAT,,,0,,0.1,,Shelf_Rating_Output_Frequency,
4118,1,,,,,FLOAT,,,0,,10,,Shelf_Rating_VA,
4119,1,,,,,FLOAT,,,0,,10,,Shelf_Rating_Output_Power,
4120,1,,,,,FLOAT,,,0,,0.1,,Shelf_Rating_Battery_Voltage,
4121,1,,,,,FLOAT,,,0,,0.1,,Shelf_Battery_Low_Warning_Voltage,
4122,1,,,,,FLOAT,,,0,,0.1,,Shelf_Battery_Cutoff_Voltage,
4224,1,,,,,FLOAT,,,0,,0.1,,Shelf_AMB_Temperature,
4233,2,,,,,INTEGER,,,,,,,Shelf_Unix_Time,
4608,1,,,,,FLOAT,,,0,,0.1,,Shelf_Input_Frequency_1,
4609,1,,,,,FLOAT,,,0,,0.1,,Shelf_Input_Voltage_R1,
4610,1,,,,,FLOAT,,,0,,0.01,,Shelf_Input_THDv_R1,
4611,1,,,,,FLOAT,,,0,,0.1,,Shelf_Input_Current_R1,
4612,1,,,,,FLOAT,,,0,,0.01,,Shelf_Input_THDi_R1,
4613,1,,,,,FLOAT,,,0,,10,,Shelf_Input_Active_Power_R1,
4614,1,,,,,FLOAT,,,0,,10,,Shelf_Input_Reactive_Power_R1,
4615,1,,,,,FLOAT,,,0,,10,,Shelf_Input_Apparent_Power_R1,
4616,1,,,,,FLOAT,,,0,,0.001,,Shelf_Input_Power_Factor_R1,
4617,1,,,,,FLOAT,,,0,,0.1,,Shelf_Input_Voltage_S1,
4618,1,,,,,FLOAT,,,0,,0.01,,Shelf_Input_THDv_S1,
4619,1,,,,,FLOAT,,,0,,0.1,,Shelf_Input_Current_S1,
4620,1,,,,,FLOAT,,,0,,0.01,,Shelf_Input_THDi_S1,
4621,1,,,,,FLOAT,,,0,,10,,Shelf_Input_Active_Power_S1,
4622,1,,,,,FLOAT,,,0,,10,,Shelf_Input_Reactive_Power_S1,
4623,1,,,,,FLOAT,,,0,,10,,Shelf_Input_Apparent_Power_S1,
4624,1,,,,,FLOAT,,,0,,0.001,,Shelf_Input_Power_Factor_S1,
4625,1,,,,,FLOAT,,,0,,0.1,,Shelf_Input_Voltage_T1,
4626,1,,,,,FLOAT,,,0,,0.01,,Shelf_Input_THDv_T1,
4627,1,,,,,FLOAT,,,0,,0.1,,Shelf_Input_Current_T1,
4628,1,,,,,FLOAT,,,0,,0.01,,Shelf_Input_THDi_T1,
4629,1,,,,,FLOAT,,,0,,10,,Shelf_Input_Active_Power_T1,
4630,1,,,,,FLOAT,,,0,,10,,Shelf_Input_Reactive_Power_T1,
4631,1,,,,,FLOAT,,,0,,10,,Shelf_Input_Apparent_Power_T1,
4632,1,,,,,FLOAT,,,0,,0.001,,Shelf_Input_Power_Factor_T1,
4864,1,,,,,FLOAT,,,0,,0.1,,Shelf_Input_Frequency_2,
4865,1,,,,,FLOAT,,,0,,0.1,,Shelf_Input_Voltage_R2,
4866,1,,,,,FLOAT,,,0,,0.01,,Shelf_Input_THDv_R2,
4867,1,,,,,FLOAT,,,0,,0.1,,Shelf_Input_Current_R2,
4868,1,,,,,FLOAT,,,0,,0.01,,Shelf_Input_THDi_R2,
