begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name
0,8,,,,,STRING,,,,,,,PSU MFR MODEL
16,8,,,,,STRING,,,,,,,PSU MFR DATE
32,8,,,,,STRING,,,,,,,PSU FB Part #
48,4,,,,,STRING,,,,,,,PSU HW Revision
56,4,,,,,STRING,,,,,,,PSU FW Revision
64,16,,,,,STRING,,,,,,,PSU MFR Serial #
96,4,,,,,STRING,,,,,,,PSU Workorder #
104,1,10,True,,,FLAGS,,,,,,,PSU Status
,,,,13,Forced Backup,,,,,,,,
,,,,11,Power Fail signal,,,,,,,,
,,,,10,Redundancy Lost,,,,,,,,
,,,,9,PSU Not Responding,,,,,,,,
,,,,8,SoH Discharge,,,,,,,,
,,,,7,SoH Requested,,,,,,,,
,,,,6,Battery Alarm,,,,,,,,
,,,,5,Fan Alarm,,,,,,,,
,,,,4,Temp Alarm,,,,,,,,
,,,,3,Current Feed (Boost Converter) Failed,,,,,,,,
,,,,2,Battery Charger Failed,,,,,,,,
,,,,1,Aux 54V Converter failed,,,,,,,,
,,,,0,Main Converter Failed,,,,,,,,
105,1,10,True,,,FLAGS,,,,,,,BBU Status (0x00 of the BBU)
,,,,15,Unknown Error,,,,,,,,
,,,,14,Bad Size,,,,,,,,
,,,,13,Overflow/Underflow,,,,,,,,
,,,,12,Access Denied,,,,,,,,
,,,,11,Unsupported Command,,,,,,,,
,,,,9,Busy,,,,,,,,
,,,,8,Normal,,,,,,,,
,,,,7,BBU Charge_Enable_L signal mismatch,,,,,,,,
,,,,6,BBU Stop_Discharge_L signal mismatch,,,,,,,,
,,,,2,End of Life,,,,,,,,
,,,,1,Low Voltage,,,,,,,,
,,,,0,BBU Fail,,,,,,,,
107,1,10,True,,,FLAGS,,,,,,,BBU Battery Mode (0x03 of BBU)
,,,,15,Capacity Mode,,,,,,,,
,,,,14,Charger Mode,,,,,,,,
,,,,13,Alarm Mode,,,,,,,,
,,,,9,Primary Battery,,,,,,,,
,,,,8,Charge Controller Enabled,,,,,,,,
,,,,7,Battery OK Flag,,,,,,,,
,,,,1,Primary Battery Support,,,,,,,,
,,,,0,Internal Charge Controller,,,,,,,,
108,1,10,True,,,FLAGS,,,,,,,BBU Battery Status (0x16 of BBU)
,,,,15,Over Charged Alarm,,,,,,,,
,,,,14,Terminated Charge Alarm,,,,,,,,
,,,,12,Over Temp Alarm,,,,,,,,
,,,,11,Terminate Discharge Alarm,,,,,,,,
,,,,9,Remaining Capacity Alarm,,,,,,,,
,,,,8,Remaining Time Alarm,,,,,,,,
,,,,7,Initialized,,,,,,,,
,,,,6,Discharging,,,,,,,,
,,,,5,Fully Charged,,,,,,,,
,,,,4,Fully Discharged,,,,,,,,
109,1,10,,,,INTEGER,L,,,,,,BBU Cell Voltage 1 (0x80 of the BBU)
110,1,10,,,,INTEGER,L,,,,,,BBU Cell Voltage 2 (0x81 of the BBU)
111,1,10,,,,INTEGER,L,,,,,,BBU Cell Voltage 3 (0x82 of the BBU)
112,1,10,,,,INTEGER,L,,,,,,BBU Cell Voltage 4 (0x83 of the BBU)
113,1,10,,,,INTEGER,L,,,,,,BBU Cell Voltage 5 (0x84 of the BBU)
114,1,10,,,,INTEGER,L,,,,,,BBU Cell Voltage 6 (0x85 of the BBU)
115,1,10,,,,INTEGER,L,,,,,,BBU Cell Voltage 7 (0x86 of the BBU)
116,1,10,,,,INTEGER,L,,,,,,BBU Cell Voltage 8 (0x87 of the BBU)
117,1,10,,,,INTEGER,L,,,,,,BBU Cell Voltage 9 (0x88 of the BBU)
118,1,10,,,,INTEGER,L,,,,,,BBU Cell Voltage 10 (0x89 of the BBU)
119,1,10,,,,INTEGER,L,,,,,,BBU Cell Voltage 11 (0x8A of the BBU)
120,1,10,,,,INTEGER,L,,,,,,BBU Cell Voltage 12 (0x8B of the BBU)
121,1,10,,,,INTEGER,L,,,,,,BBU Cell Voltage 13 (0x8C of the BBU)
122,1,10,,,,INTEGER,L,,,,,,BBU Temp 1 (0x90 of the BBU)
123,1,10,,,,INTEGER,L,,,,,,BBU Temp 2 (0x91 of the BBU)
124,1,10,,,,INTEGER,L,,,,,,BBU Temp 3 (0x92 of the BBU)
125,1,10,,,,INTEGER,L,,,,,,BBU Temp 4 (0x93 of the BBU)
126,1,10,,,,INTEGER,L,,,,,,BBU Relative State of Charge (0x0D of the BBU)
127,1,10,,,,INTEGER,L,,,,,,BBU Absolute State of Charge (0x0E of the BBU)
128,1,10,,,,FLOAT,,,6,True,,,PSU Input VAC
129,1,10,,,,INTEGER,L,,,,,,BBU Battery Voltage (0x09 of the BBU)
130,1,10,,,,FLOAT,,,10,True,,,PSU Input Current AC
131,1,10,,,,INTEGER,L,,,,,,BBU Battery Current (0x0A of the BBU)
132,1,10,,,,FLOAT,,,9,True,,,Battery Voltage (Detected by PSU)
133,1,10,,,,INTEGER,L,,,,,,BBU Average Current (0x0B of the BBU)
134,1,,,,,FLOAT,,,8,True,,,Battery Current Output
135,1,10,,,,INTEGER,L,,,,,,BBU Remaining Capacity (0x0F of the BBU)
136,1,,,,,FLOAT,,,12,True,,,Battery Current Input
137,1,10,,,,INTEGER,L,,,,,,BBU Full Charge Capacity (0x10 of the BBU)
138,1,10,,,,FLOAT,,,11,True,,,PSU Output Voltage
139,1,10,,,,INTEGER,L,,,,,,BBU Run Time To Empty (0x11 of the BBU)
140,1,10,,,,FLOAT,,,6,True,,,PSU Output Current
141,1,10,,,,INTEGER,L,,,,,,BBU Average Time To Empty (0x12 of the BBU)
142,1,,,,,FLOAT,,,9,True,,,PSU IT Load Voltage Output
143,1,,,,,INTEGER,L,,,,,,BBU Charging Current (0x14 of the BBU)
144,1,,,,,FLOAT,,,12,True,,,PSU IT Load Current Output
145,1,10,,,,INTEGER,L,,,,,,BBU Charging Voltage (0x15 of the BBU)
146,1,,,,,FLOAT,,,6,True,,,PSU Bulk Cap Voltage
147,1,10,,,,INTEGER,L,,,,,,BBU Cycle Count (0x17 of the BBU)
148,1,10,,,,FLOAT,,,3,True,,,PSU Input Power
149,1,,,,,INTEGER,L,,,,,,BBU Design Capacity (0x18 of the BBU)
150,1,10,,,,FLOAT,,,3,True,,,PSU Output Power
151,1,,,,,INTEGER,L,,,,,,BBU Design Voltage (0x19 of the BBU)
152,1,,,,,FLOAT,,,0,,,,PSU RPM Fan 0
