begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
0,8,,,,,STRING,,,,,,,Manufacture_Name,
8,8,,,,,STRING,,,,,,,Manufacture_Model,
16,8,,,,,STRING,,,,,,,Manufacture_Date,
24,8,,,,,STRING,,,,,,,Facebook_Part_Number,
48,2,,,,,STRING,,,,,,,Build_Revision,
52,4,,,,,STRING,,,,,,,HW_Revision,
56,4,,,,,STRING,,,,,,,FW_Revision,
60,4,,,,,STRING,,,,,,,Workorder,
64,16,,,,,STRING,,,,,,,MFR_Serial,
90,1,,,,,FLOAT,,,0,,0.1,-273.15,Temp1,
91,1,,,,,FLOAT,,,0,,0.1,-273.15,Temp2,
92,1,,,,,FLOAT,,,0,,0.1,-273.15,Temp3,
93,1,,,,,FLOAT,,,0,,0.1,-273.15,Temp4,
94,1,,,,,INTEGER,,,,,,,Relative_State_Of_Charge,
95,1,,,,,INTEGER,,,,,,,Absolute_State_Of_Charge,
96,1,,,,,FLOAT,,,0,,0.001,,Supercap_Pack_Voltage,
97,1,,,,,FLOAT,,,0,TRUE,0.01,,Supercap_Pack_Current,
98,1,,,,,FLOAT,,,0,TRUE,0.01,,Average_Current,
99,1,,,,,INTEGER,,,,,,,Remaining_Capacity,
100,1,,,,,INTEGER,,,,,,,Full_Charge_Capacity,
101,2,,,,,INTEGER,,,,TRUE,,,Wall_Clock_Time,
104,1,,,,,FLAGS,,,,,,,CBU_Status,
,,,,15,Discharge_Not_Allowed,,,,,,,,,
,,,,14,Charge_Not_Allowed,,,,,,,,,
,,,,13,Temperature_Failure,,,,,,,,,
,,,,12,Pack_Over_Current,,,,,,,,,
,,,,11,Cell_Under_Voltage,,,,,,,,,
,,,,10,Pack_Under_Voltage,,,,,,,,,
,,,,9,Cell_Over_Voltage,,,,,,,,,
,,,,8,Pack_Over_Voltage,,,,,,,,,
,,,,7,EOL,,,,,,,,,
,,,,6,Fan_Failure,,,,,,,,,
,,,,5,Cell_Balancing_Failure,,,,,,,,,
,,,,4,Thermal_Throtting,,,,,,,,,
106,1,,,,,INTEGER,,,,,,,Manufacturer_Access,
107,1,,,,,FLAGS,,,,,,,CBU_Mode,
,,,,14,EOL_Threshold_Override,,,,,,,,,
,,,,13,System_Control_Enable,,,,,,,,,
,,,,9,HW_Reset_Pin_Enable_Disable,,,,,,,,,
,,,,4,Standby,,,,,,,,,
,,,,3,Fault_Mode,,,,,,,,,
,,,,1,Discharging,,,,,,,,,
,,,,0,Charging,,,,,,,,,
108,1,,,,,FLAGS,,,,,,,Supercap_Pack_Status,
,,,,14,Terminate_Charge_Alarm,,,,,,,,,
,,,,12,Over_Temperature_Alarm,,,,,,,,,
,,,,11,Terminate_Discharge_Alarm,,,,,,,,,
