begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name
0,8,,,,,STRING,,,,,,,PSU_FBPN
8,8,,,,,STRING,,,,,,,PSU_MFR_Model
16,8,,,,,STRING,,,,,,,PSU_MFR_Date
24,16,,,,,STRING,,,,,,,PSU_MFR_Serial
40,4,,,,,STRING,,,,,,,PSU_Workorder
44,4,,,,,STRING,,,,,,,PSU_HW_Revision
48,4,,,,,STRING,,,,,,,PSU_FW_Revision
52,2,,,,,INTEGER,,,,,,,Total_Up_Time
54,2,,,,,INTEGER,,,,,,,Time_Since_Last_On
56,1,,,,,INTEGER,,,,,,,AC_Power_Cycle_Counter
57,1,,,,,INTEGER,,,,,,,AC_Outage_Counter
60,1,,,,,FLAGS,,,,,,,General_Alarm_Status_Register
,,,,0,PFC,,,,,,,,
,,,,1,DCDC,,,,,,,,
,,,,2,Temperature,,,,,,,,
,,,,3,Communication,,,,,,,,
,,,,8,PFC_Converter_Fail,,,,,,,,
,,,,9,DCDC_Converter_Failure,,,,,,,,
,,,,10,Temp_Alarm,,,,,,,,
,,,,11,Fan_Alarm,,,,,,,,
61,1,,,,,FLAGS,,,,,,,PFC_Alarm_Status_Register
,,,,0,AC_UVP,,,,,,,,
,,,,1,AC_OVP,,,,,,,,
,,,,4,Freq_Low,,,,,,,,
,,,,5,Freq_High,,,,,,,,
,,,,8,AC_Not_OK,,,,,,,,
,,,,9,Bulk_Not_Ok,,,,,,,,
,,,,10,Input_Relay_Off,,,,,,,,
,,,,11,PFC_Fail,,,,,,,,
,,,,12,AC_Loss_Single_Fault,,,,,,,,
62,1,,,,,FLAGS,,,,,,,DCDC_Alarm_Status_Register
,,,,0,Main_UVP,,,,,,,,
,,,,1,Main_OVP,,,,,,,,
,,,,2,Main_OCP,,,,,,,,
,,,,3,Main_SCKT,,,,,,,,
,,,,8,DCDC_Fail,,,,,,,,
,,,,9,Secondary_MCU_Fail,,,,,,,,
,,,,10,Oring_Fail,,,,,,,,
63,1,,,,,FLAGS,,,,,,,Temperature_Alarm_Status_Register
,,,,0,Outlet_Temp_Alarm,,,,,,,,
,,,,1,Inlet_Temp_Alarm,,,,,,,,
,,,,2,Oring_Temp_Alarm,,,,,,,,
,,,,3,Sync_Temp_Alarm,,,,,,,,
,,,,4,LLC_Temp_Alarm,,,,,,,,
,,,,5,PFC_Temp_Alarm,,,,,,,,
,,,,6,Bus_Clip_Temp_Alarm,,,,,,,,
,,,,7,Bus_Clip_OTP,,,,,,,,
,,,,8,Fan_Failure,,,,,,,,
64,1,,,,,FLAGS,,,,,,,Communication_Alarm_Status_Register
,,,,0,Primary_Secondary_MCU_Fault,,,,,,,,
,,,,1,Secondary_Logic_MCU_Fault,,,,,,,,
65,1,,,,,FLOAT,,,3,,,,PSU_Input_Power_Inst
66,1,,,,,FLOAT,,,10,,,,PSU_Input_Current_AC_Inst
67,1,,,,,INTEGER,,,,,,,PSU_RPM_Fan0
68,1,,,,,INTEGER,,,,,,,PSU_RPM_Fan1
69,1,,,,,FLOAT,,,7,TRUE,,,PSU_Temp0_Inlet
70,1,,,,,FLOAT,,,7,TRUE,,,PSU_Temp1_Outlet
71,1,,,,,FLOAT,,,7,TRUE,,,PSU_Max_Temp
72,1,,,,,FLOAT,,,7,TRUE,,,PSU_Min_Temp
73,2,,,,,INTEGER,,,,,,,PSU_Position_Number
75,2,,,,,INTEGER,,,,,,,CRC_Error_Counter
77,2,,,,,INTEGER,,,,,,,Timeout_Error_Counter
79,1,,,,,FLOAT,,,10,,,,PSU_Output_Voltage
80,1,,,,,FLOAT,,,6,,,,PSU_Output_Current
81,1,,,,,FLOAT,,,6,,,,I_Share_Current_Value
82,1,,,,,FLOAT,,,3,,,,PSU_Output_Power
83,1,,,,,FLOAT,,,6,,,,PSU_Bulk_Cap_Voltage
84,1,,,,,FLOAT,,,0,,,,PSU_Input_Frequency_AC
85,1,,,,,FLOAT,,,9,,,,PSU_ITHD
86,1,,,,,FLOAT,,,9,,,,PSU_Power_Factor
87,1,,,,,FLOAT,,,3,,,,PSU_Input_Power
88,1,,,,,FLOAT,,,6,,,,PSU_Input_Voltage_AC
89,1,,,,,FLOAT,,,10,,,,PSU_Input_Current_AC
90,2,,,,,INTEGER,,,,,,,Unix_Time
92,2,,,,,INTEGER,,,,,,,Power_Cycle_Unix_Time
94,1,,,,,FLAGS,,,,,,,PSU_Setting_Register
,,,,0,PSU_Write_Enable,,,,,,,,
,,,,1,Pulse_Mgmt_Enable,,,,,,,,
,,,,6,Force_Pulse_Mgmt,,,,,,,,
,,,,7,Force_AC_Loss,,,,,,,,
,,,,11,Active_Current_Sharing_Enable,,,,,,,,
,,,,12,HW_Reset_Pin_Enable,,,,,,,,
,,,,13,VO_Sel_Pin_Enable,,,,,,,,
,,,,14,Clear_Faults_Latch,,,,,,,,
,,,,15,Power_Cycle,,,,,,,,
95,1,,,,,INTEGER,,,,,,,Communication_Baud_Rate
96,1,,,,,INTEGER,,,,,,,Fan_Duty_Cycle_Override
97,1,,,,,FLAGS,,,,,,,LED_Override
,,,,0,LED_Override,,,,,,,,
,,,,5,Blue_LED,,,,,,,,
,,,,6,Amber_LED,,,,,,,,
,,,,8,Status_Blue_LED_On,,,,,,,,
,,,,9,Status_Blue_LED_Blinking,,,,,,,,
,,,,10,Status_Amber_LED_On,,,,,,,,
,,,,11,Status_Amber_LED_Blinking,,,,,,,,
98,1,,,,,INTEGER,,,,,,,PSU_Fault_Counter
99,1,,,,,INTEGER,,,,,,,Turn_Off_Time_Of_Power_Cycle_Unix_Time
101,1,,,,,FLOAT,,,6,,,,Vin_Min
102,1,,,,,FLOAT,,,6,,,,Vin_Max
103,1,,,,,FLOAT,,,10,,,,Vout_Setpoint
105,4,,,,,STRING,,,,,,,PSU_FBL_FW_Revision
109,2,,,,,INTEGER,,,,,,,Power_Off_Unix_Time
111,1,,,,,FLOAT,,,7,TRUE,,,Bus_Clip_Temp_Pos
112,1,,,,,FLOAT,,,7,TRUE,,,Bus_Clip_Temp_Neg
113,1,,,,,FLOAT,,,10,,,,Bus_Voltage_Max_Since_Power_On
114,1,,,,,FLOAT,,,10,,,,Bus_Voltage_Min_Since_Power_On
