begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
37685,1,,,,,FLAGS,,,,,,,Self_Testing_Result,
,,,,0,Self_Testing_Result_All,,,,,,,,,
,,,,1,Self_Testing_Result_None,,,,,,,,,
,,,,2,Self_Testing_Result_AC_power,,,,,,,,,
,,,,3,Self_Testing_Result_DC_power,,,,,,,,,
,,,,4,Self_Testing_Result_Pressure,,,,,,,,,
,,,,5,Self_Testing_Result_Temperature,,,,,,,,,
,,,,6,Self_Testing_Result_PH,,,,,,,,,
,,,,7,Self_Testing_Result_Conductivity,,,,,,,,,
,,,,9,Self_Testing_Result_Leakage,,,,,,,,,
,,,,10,Self_Testing_Result_Proportional_Valve,,,,,,,,,
,,,,11,Self_Testing_Result_Fan,,,,,,,,,
,,,,12,Self_Testing_Result_Pump_Flow,,,,,,,,,
37970,1,,,,,FLAGS,,,,,,,Self_Testing_Functions1,
,,,,0,Self_Testing_Functions_Voltage_AC_Power,,,,,,,,,
,,,,1,Self_Testing_Functions_Voltage_DC_Power,,,,,,,,,
,,,,4,Self_Testing_Functions_Sensors_Pressure,,,,,,,,,
,,,,5,Self_Testing_Functions_Sensors_Temperature,,,,,,,,,
,,,,6,Self_Testing_Functions_Sensors_PH,,,,,,,,,
,,,,7,Self_Testing_Functions_Sensors_Conductivity,,,,,,,,,
,,,,9,Self_Testing_Functions_Sensors_Leakage,,,,,,,,,
37971,1,,,,,FLAGS,,,,,,,Self_Testing_Functions2,
,,,,0,Self_Testing_Functions_Proportional_Valve,,,,,,,,,
,,,,4,Self_Testing_Functions_Fan,,,,,,,,,
,,,,8,Self_Testing_Functions_Pump_Flow_Meter,,,,,,,,,
37888,1,,,,,INTEGER,,,,,,,HMI_Remote_mode,
37890,1,,,,,INTEGER,,,,,,,Limit_Reset,
37892,1,,,,,INTEGER,,,,,,,UPS_Pump_Rack_Power_Cycle_1,
37893,1,,,,,INTEGER,,,,,,,UPS_Fan_Rack_1_Power_Cycle_2,
37894,1,,,,,INTEGER,,,,,,,UPS_Fan_Rack_2_Power_Cycle_3,
37895,1,,,,,INTEGER,,,,,,,UPS_Turn_Off_Time_Of_Power_Cycle,
37898,1,,,,,INTEGER,,,,,,,UPS_Restart_Cancel,
37899,1,,,,,INTEGER,,,,,,,Clear_Leak_History,
37899,1,,,,,INTEGER,,,,,,,Clear_Error_Log,
37904,1,,,,,FLAGS,,,,,,,Control,
,,,,0,Manual_On,,,,,,,,,
,,,,1,Auto1_On,,,,,,,,,
,,,,2,Auto2_On,,,,,,,,,
,,,,3,Self_Testing_On,,,,,,,,,
,,,,4,Air_Purging_On,,,,,,,,,
,,,,6,Manual_Pump_Rack_Pump_Group_Single,,,,,,,,,
,,,,7,Manual_Fan_Rack_1_Fan_All_Single,,,,,,,,,
,,,,8,Manual_Fan_Rack_2_Fan_All_Single,,,,,,,,,
,,,,15,System_Stop,,,,,,,,,
37911,1,,,,,FLOAT,,,1,,1,,Manual_Pump_Rack_Group_Pumps_Duty_Set,
37912,1,,,,,FLOAT,,,1,,1,,Manual_Fan_Rack_1_All_Fan_Duty_Set,
37913,1,,,,,FLOAT,,,1,,1,,Manual_Fan_Rack_2_All_Fan_Duty_Set,
37914,1,,,,,FLOAT,,,1,,0.1,,Auto1_Target_Flow_Set,
37915,1,,,,,FLOAT,,,1,,1,,Auto1_Fan_Rack_1_All_Fan_Duty_Set,
37916,1,,,,,FLOAT,,,1,,1,,Auto1_Fan_Rack_2_All_Fan_Duty_Set,
37917,1,,,,,FLOAT,,,1,,0.1,,Auto2_Target_Flow_Set,
37918,1,,,,,FLOAT,,,1,,0.1,,Auto2_Target_Temperature_Set,
37919,1,,,,,FLOAT,,,1,,1,,Manual_Fan_Rack_1_Proportional_Valve,
37920,1,,,,,FLOAT,,,1,,1,,Manual_Fan_Rack_2_Proportional_Valve,
37936,1,,,,,FLOAT,,,1,,1,,Manual_Pump_Rack_Pump1_Duty_Set,
37937,1,,,,,FLOAT,,,1,,1,,Manual_Pump_Rack_Pump2_Duty_Set,
37938,1,,,,,FLOAT,,,1,,1,,Manual_Pump_Rack_Pump3_Duty_Set,
