begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
37519,1,,,,,FLAGS,,,,,,,Leak_Status,
,,,,0,Sticky_Pump_Rack_Leak1_Status,,,,,,,,,
,,,,1,Sticky_Pump_Rack_Leak2_Status,,,,,,,,,
,,,,3,Sticky_Fan_Rack_1_Leak1_Status,,,,,,,,,
,,,,4,Sticky_Fan_Rack_1_Leak2_Status,,,,,,,,,
,,,,5,Sticky_Fan_Rack_1_Leak3_Status,,,,,,,,,
,,,,8,Sticky_Fan_Rack_2_Leak1_Status,,,,,,,,,
,,,,9,Sticky_Fan_Rack_2_Leak2_Status,,,,,,,,,
,,,,10,Sticky_Fan_Rack_2_Leak3_Status,,,,,,,,,
,,,,12,Sticky_ITRack_chassis0_leakage,,,,,,,,,
,,,,13,Sticky_ITRack_chassis1_leakage,,,,,,,,,
,,,,14,Sticky_ITRack_chassis2_leakage,,,,,,,,,
,,,,15,Sticky_ITRack_chassis3_leakage,,,,,,,,,
37520,1,,,,,FLAGS,,,,,,,Pump_Rack_Coolant_Level_Status,
,,,,0,Pump_Rack_Coolant_Level_High,,,,,,,,,
,,,,1,Pump_Rack_Coolant_Level_Medium_High,,,,,,,,,
,,,,2,Pump_Rack_Coolant_Level_Medium_Low,,,,,,,,,
,,,,3,Pump_Rack_Coolant_Level_Low,,,,,,,,,
37521,1,,,,,FLAGS,,,,,,,Fan_Rack_1_Coolant_Level_Status,
,,,,0,Fan_Rack_1_Coolant_Level_High,,,,,,,,,
,,,,1,Fan_Rack_1_Coolant_Level_Medium,,,,,,,,,
,,,,2,Fan_Rack_1_Coolant_Level_Low,,,,,,,,,
37522,1,,,,,FLAGS,,,,,,,Fan_Rack_2_Coolant_Level_Status,
,,,,0,Fan_Rack_2_Coolant_Level_High,,,,,,,,,
,,,,1,Fan_Rack_2_Coolant_Level_Medium,,,,,,,,,
,,,,2,Fan_Rack_2_Coolant_Level_Low,,,,,,,,,
37527,1,,,,,FLOAT,,,0,,0.1,,Pump_Rack_Flow,
37528,1,,,,,FLOAT,,,0,,0.1,,Fan_Rack_1_Flow,
37529,1,,,,,FLOAT,,,0,,0.1,,Fan_Rack_2_Flow,
37530,1,,,,,FLAGS,,,,,,,Flow_Meter_Status,
,,,,0,Pump_Rack_Flow_Meter_Status,,,,,,,,,
,,,,1,Fan_Rack_1_Flow_Meter_Status,,,,,,,,,
,,,,2,Fan_Rack_2_Flow_Meter_Status,,,,,,,,,
37537,1,,,,,FLOAT,,,0,,0.1,,Fan_Rack_1_Proportional_Valve,
37538,1,,,,,FLOAT,,,0,,0.1,,Fan_Rack_2_Proportional_Valve,
37539,1,,,,,FLAGS,,,,,,,Proportional_Valve_Status,
,,,,0,Fan_Rack_1_Proportional_Valve_Status,,,,,,,,,
,,,,1,Fan_Rack_2_Proportional_Valve_Status,,,,,,,,,
