begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
37459,1,,,,,FLOAT,,,0,,0.001,,Pump_Rack_CRPS_PSU1_Vout,Volts
37460,1,,,,,FLOAT,,,0,,0.001,,Pump_Rack_CRPS_PSU2_Vout,Volts
37461,1,,,,,FLOAT,,,0,,0.001,,Pump_Rack_CRPS_PSU1_Iout,Amperes
37462,1,,,,,FLOAT,,,0,,0.001,,Pump_Rack_CRPS_PSU2_Iout,Amperes
37463,1,,,,,INTEGER,,,,,,,Pump_Rack_CRPS_Warning_Information_1,
37464,1,,,,,INTEGER,,,,,,,Pump_Rack_CRPS_Warning_Information_2,
37465,1,,,,,INTEGER,,,,,,,Pump_Rack_CRPS_Warning_Information_3,
37466,1,,,,,FLOAT,,,0,,0.01,,Pump_Rack_CRPS_PSU1_OCP_Threshold,Amperes
37467,1,,,,,FLOAT,,,0,,0.01,,Pump_Rack_CRPS_PSU2_OCP_Threshold,Amperes
37468,1,,,,,FLOAT,,,0,,1,,Pump_Rack_CRPS_PSU1_OTP_Hotspot_Threshold,DegreesC
37469,1,,,,,FLOAT,,,0,,1,,Pump_Rack_CRPS_PSU2_OTP_Hotspot_Threshold,DegreesC
37470,1,,,,,FLOAT,,,0,,1,,Pump_Rack_CRPS_PSU1_OTP_Ambient_Threshold,DegreesC
37471,1,,,,,FLOAT,,,0,,1,,Pump_Rack_CRPS_PSU2_OTP_Ambient_Threshold,DegreesC
37479,1,,,,,FLOAT,,,0,,0.001,,Fan_Rack_1_CRPS_PSU1_Vout,Volts
37480,1,,,,,FLOAT,,,0,,0.001,,Fan_Rack_1_CRPS_PSU2_Vout,Volts
37481,1,,,,,FLOAT,,,0,,0.001,,Fan_Rack_1_CRPS_PSU1_Iout,Amperes
37482,1,,,,,FLOAT,,,0,,0.001,,Fan_Rack_1_CRPS_PSU2_Iout,Amperes
37483,1,,,,,INTEGER,,,,,,,Fan_Rack_1_CRPS_Warning_Information_1,
37484,1,,,,,INTEGER,,,,,,,Fan_Rack_1_CRPS_Warning_Information_2,
37485,1,,,,,INTEGER,,,,,,,Fan_Rack_1_CRPS_Warning_Information_3,
37486,1,,,,,FLOAT,,,0,,0.01,,Fan_Rack_1_CRPS_PSU1_OCP_Threshold,Amperes
37487,1,,,,,FLOAT,,,0,,0.01,,Fan_Rack_1_CRPS_PSU2_OCP_Threshold,Amperes
37488,1,,,,,FLOAT,,,0,,1,,Fan_Rack_1_CRPS_PSU1_OTP_Hotspot_Threshold,DegreesC
37489,1,,,,,FLOAT,,,0,,1,,Fan_Rack_1_CRPS_PSU2_OTP_Hotspot_Threshold,DegreesC
37490,1,,,,,FLOAT,,,0,,1,,Fan_Rack_1_CRPS_PSU1_OTP_Ambient_Threshold,DegreesC
37491,1,,,,,FLOAT,,,0,,1,,Fan_Rack_1_CRPS_PSU2_OTP_Ambient_Threshold,DegreesC
37499,1,,,,,FLOAT,,,0,,0.001,,Fan_Rack_2_CRPS_PSU1_Vout,Volts
37500,1,,,,,FLOAT,,,0,,0.001,,Fan_Rack_2_CRPS_PSU2_Vout,Volts
37501,1,,,,,FLOAT,,,0,,0.001,,Fan_Rack_2_CRPS_PSU1_Iout,Amperes
37502,1,,,,,FLOAT,,,0,,0.001,,Fan_Rack_2_CRPS_PSU2_Iout,Amperes
37503,1,,,,,INTEGER,,,,,,,Fan_Rack_2_CRPS_Warning_Information_1,
37504,1,,,,,INTEGER,,,,,,,Fan_Rack_2_CRPS_Warning_Information_2,
37505,1,,,,,INTEGER,,,,,,,Fan_Rack_2_CRPS_Warning_Information_3,
37506,1,,,,,FLOAT,,,0,,0.01,,Fan_Rack_2_CRPS_PSU1_OCP_Threshold,Amperes
37507,1,,,,,FLOAT,,,0,,0.01,,Fan_Rack_2_CRPS_PSU2_OCP_Threshold,Amperes
37508,1,,,,,FLOAT,,,0,,1,,Fan_Rack_2_CRPS_PSU1_OTP_Hotspot_Threshold,DegreesC
37509,1,,,,,FLOAT,,,0,,1,,Fan_Rack_2_CRPS_PSU2_OTP_Hotspot_Threshold,DegreesC
37510,1,,,,,FLOAT,,,0,,1,,Fan_Rack_2_CRPS_PSU1_OTP_Ambient_Threshold,DegreesC
37511,1,,,,,FLOAT,,,0,,1,,Fan_Rack_2_CRPS_PSU2_OTP_Ambient_Threshold,DegreesC
