begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
36897,1,,,,,FLOAT,,,1,,,,Fan_Rack_Fan_PWM_Setting,Percent
36898,1,,,,,FLOAT,,,1,,,,Fan_Rack_1_Fan1_Speed,RPMS
36899,1,,,,,FLOAT,,,1,,,,Fan_Rack_1_Fan2_Speed,RPMS
36900,1,,,,,FLOAT,,,1,,,,Fan_Rack_1_Fan3_Speed,RPMS
36901,1,,,,,FLOAT,,,1,,,,Fan_Rack_1_Fan4_Speed,RPMS
36902,1,,,,,FLOAT,,,1,,,,Fan_Rack_1_Fan5_Speed,RPMS
36903,1,,,,,FLOAT,,,1,,,,Fan_Rack_1_Fan6_Speed,RPMS
36904,1,,,,,FLOAT,,,1,,,,Fan_Rack_1_Fan7_Speed,RPMS
36905,1,,,,,FLOAT,,,1,,,,Fan_Rack_1_Fan8_Speed,RPMS
36906,1,,,,,FLOAT,,,1,,,,Fan_Rack_2_Fan1_Speed,RPMS
36907,1,,,,,FLOAT,,,1,,,,Fan_Rack_2_Fan2_Speed,RPMS
36908,1,,,,,FLOAT,,,1,,,,Fan_Rack_2_Fan3_Speed,RPMS
36909,1,,,,,FLOAT,,,1,,,,Fan_Rack_2_Fan4_Speed,RPMS
36910,1,,,,,FLOAT,,,1,,,,Fan_Rack_2_Fan5_Speed,RPMS
36911,1,,,,,FLOAT,,,1,,,,Fan_Rack_2_Fan6_Speed,RPMS
36912,1,,,,,FLOAT,,,1,,,,Fan_Rack_2_Fan7_Speed,RPMS
36913,1,,,,,FLOAT,,,1,,,,Fan_Rack_2_Fan8_Speed,RPMS
36914,1,,,,,FLOAT,,,1,TRUE,,,Fan_Rack_1_Fan1_Module_Temperature,DegreesC
36915,1,,,,,FLOAT,,,1,TRUE,,,Fan_Rack_1_Fan2_Module_Temperature,DegreesC
36916,1,,,,,FLOAT,,,1,TRUE,,,Fan_Rack_1_Fan3_Module_Temperature,DegreesC
36917,1,,,,,FLOAT,,,1,TRUE,,,Fan_Rack_1_Fan4_Module_Temperature,DegreesC
36918,1,,,,,FLOAT,,,1,TRUE,,,Fan_Rack_1_Fan5_Module_Temperature,DegreesC
36919,1,,,,,FLOAT,,,1,TRUE,,,Fan_Rack_1_Fan6_Module_Temperature,DegreesC
36920,1,,,,,FLOAT,,,1,TRUE,,,Fan_Rack_1_Fan7_Module_Temperature,DegreesC
36921,1,,,,,FLOAT,,,1,TRUE,,,Fan_Rack_1_Fan8_Module_Temperature,DegreesC
36922,1,,,,,FLOAT,,,1,TRUE,,,Fan_Rack_2_Fan1_Module_Temperature,DegreesC
36923,1,,,,,FLOAT,,,1,TRUE,,,Fan_Rack_2_Fan2_Module_Temperature,DegreesC
36924,1,,,,,FLOAT,,,1,TRUE,,,Fan_Rack_2_Fan3_Module_Temperature,DegreesC
36925,1,,,,,FLOAT,,,1,TRUE,,,Fan_Rack_2_Fan4_Module_Temperature,DegreesC
36926,1,,,,,FLOAT,,,1,TRUE,,,Fan_Rack_2_Fan5_Module_Temperature,DegreesC
36927,1,,,,,FLOAT,,,1,TRUE,,,Fan_Rack_2_Fan6_Module_Temperature,DegreesC
36928,1,,,,,FLOAT,,,1,TRUE,,,Fan_Rack_2_Fan7_Module_Temperature,DegreesC
36929,1,,,,,FLOAT,,,1,TRUE,,,Fan_Rack_2_Fan8_Module_Temperature,DegreesC
36930,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_1_Fan1_Watt,Watts
36931,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_1_Fan2_Watt,Watts
36932,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_1_Fan3_Watt,Watts
36933,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_1_Fan4_Watt,Watts
36934,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_1_Fan5_Watt,Watts
36935,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_1_Fan6_Watt,Watts
36936,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_1_Fan7_Watt,Watts
36937,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_1_Fan8_Watt,Watts
36938,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_2_Fan1_Watt,Watts
36939,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_2_Fan2_Watt,Watts
36940,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_2_Fan3_Watt,Watts
36941,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_2_Fan4_Watt,Watts
36942,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_2_Fan5_Watt,Watts
36943,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_2_Fan6_Watt,Watts
36944,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_2_Fan7_Watt,Watts
36945,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_2_Fan8_Watt,Watts
36946,1,,,,,FLOAT,,,1,,,,Fan_Rack_1_Fan1_Vin,Volts
36947,1,,,,,FLOAT,,,1,,,,Fan_Rack_1_Fan2_Vin,Volts
36948,1,,,,,FLOAT,,,1,,,,Fan_Rack_1_Fan3_Vin,Volts
36949,1,,,,,FLOAT,,,1,,,,Fan_Rack_1_Fan4_Vin,Volts
36950,1,,,,,FLOAT,,,1,,,,Fan_Rack_1_Fan5_Vin,Volts
36951,1,,,,,FLOAT,,,1,,,,Fan_Rack_1_Fan6_Vin,Volts
36952,1,,,,,FLOAT,,,1,,,,Fan_Rack_1_Fan7_Vin,Volts
36953,1,,,,,FLOAT,,,1,,,,Fan_Rack_1_Fan8_Vin,Volts
36954,1,,,,,FLOAT,,,1,,,,Fan_Rack_2_Fan1_Vin,Volts
36955,1,,,,,FLOAT,,,1,,,,Fan_Rack_2_Fan2_Vin,Volts
36956,1,,,,,FLOAT,,,1,,,,Fan_Rack_2_Fan3_Vin,Volts
36957,1,,,,,FLOAT,,,1,,,,Fan_Rack_2_Fan4_Vin,Volts
36958,1,,,,,FLOAT,,,1,,,,Fan_Rack_2_Fan5_Vin,Volts
36959,1,,,,,FLOAT,,,1,,,,Fan_Rack_2_Fan6_Vin,Volts
36960,1,,,,,FLOAT,,,1,,,,Fan_Rack_2_Fan7_Vin,Volts
36961,1,,,,,FLOAT,,,1,,,,Fan_Rack_2_Fan8_Vin,Volts
36962,1,,,,,FLOAT,,,1,,,,Fan_Rack_1_Fan1_Iout,Amperes
