begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
192,20,,,,,STRING,,,,,,,MFR_Model,
212,4,,,,,STRING,,,,,,,MFR_Date,
240,1,,,,,FLAGS,,,,,,,RPU_Status,
,,,,0,Pump_Rack_Coolant_Loop_Blocked,,,,,,,,,
,,,,1,Pump_Rack_Filter_Unhealthy,,,,,,,,,
,,,,4,Fan_Rack_1_Coolant_Loop_Blocked,,,,,,,,,
,,,,5,Fan_Rack_1_Filter_Unhealthy,,,,,,,,,
,,,,8,Fan_Rack_2_Coolant_Loop_Blocked,,,,,,,,,
,,,,9,Fan_Rack_2_Filter_Unhealthy,,,,,,,,,
241,1,,,,,INTEGER,,,,,,,Emergency_Button_Triggered,
242,1,,,,,INTEGER,,,,,,,RPU_Ready,
243,4,,,,,INTEGER,,,,,,,Total_Uptime,
247,4,,,,,INTEGER,,,,,,,Time_Since_Last_On,
251,20,,,,,STRING,,,,,,,Pump_Rack_FBPN,
271,20,,,,,STRING,,,,,,,Pump_Rack_Serial_Number,
291,20,,,,,STRING,,,,,,,Fan_Rack_1_FBPN,
331,20,,,,,STRING,,,,,,,Fan_Rack_1_Serial_Number,
351,20,,,,,STRING,,,,,,,Fan_Rack_2_FBPN,
391,20,,,,,STRING,,,,,,,Fan_Rack_2_Serial_Number,
411,4,,,,,STRING,,,,,,,HMI_FW_Revision,
415,4,,,,,STRING,,,,,,,Pump_Rack_RPU_FW_Revision,
419,4,,,,,STRING,,,,,,,Pump_Rack_ETH_FW_Revision,
423,4,,,,,STRING,,,,,,,Fan_Rack_1_RPU_FW_Revision,
427,4,,,,,STRING,,,,,,,Fan_Rack_1_ETH_FW_Revision,
431,4,,,,,STRING,,,,,,,Fan_Rack_2_RPU_FW_Revision,
435,4,,,,,STRING,,,,,,,Fan_Rack_2_ETH_FW_Revision,
37874,1,,,,,INTEGER,,,,,,,P1_Failure_Mechanism,
37875,1,,,,,INTEGER,,,,,,,Rack_Combination_Setup,
