begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
36864,1,,,,,FLOAT,,,0,,1,,Pump_Rack_Pump_PWM_Setting,Percent
36865,1,,,,,FLOAT,,,0,,1,,Pump_Rack_Pump1_Speed,RPMS
36866,1,,,,,FLOAT,,,0,,1,,Pump_Rack_Pump2_Speed,RPMS
36867,1,,,,,FLOAT,,,0,,1,,Pump_Rack_Pump3_Speed,RPMS
36868,1,,,,,FLOAT,,,0,,0.01,,Pump_Rack_Pump1_Vout,Volts
36869,1,,,,,FLOAT,,,0,,0.01,,Pump_Rack_Pump2_Vout,Volts
36870,1,,,,,FLOAT,,,0,,0.01,,Pump_Rack_Pump3_Vout,Volts
36871,1,,,,,FLOAT,,,0,,0.1,,Pump_Rack_Pump1_Iout,Amperes
36872,1,,,,,FLOAT,,,0,,0.1,,Pump_Rack_Pump2_Iout,Amperes
36873,1,,,,,FLOAT,,,0,,0.1,,Pump_Rack_Pump3_Iout,Amperes
36874,1,,,,,FLOAT,,,0,,1,,Pump_Rack_Pump1_Wout,Watts
36875,1,,,,,FLOAT,,,0,,1,,Pump_Rack_Pump2_Wout,Watts
36876,1,,,,,FLOAT,,,0,,1,,Pump_Rack_Pump3_Wout,Watts
36883,1,,,,,INTEGER,,,,,,,Pump_Rack_Pump1_Warning_Information,
36884,1,,,,,INTEGER,,,,,,,Pump_Rack_Pump1_Error_Information,
36885,1,,,,,INTEGER,,,,,,,Pump_Rack_Pump2_Warning_Information,
36886,1,,,,,INTEGER,,,,,,,Pump_Rack_Pump2_Error_Information,
36887,1,,,,,INTEGER,,,,,,,Pump_Rack_Pump3_Warning_Information,
36888,1,,,,,INTEGER,,,,,,,Pump_Rack_Pump3_Error_Information,
