begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
37546,1,,,,,FLOAT,,,1,,0.1,,Pump_Rack_pH,
37547,1,,,,,FLOAT,,,1,,1,,Pump_Rack_Conductivity,
37548,1,,,,,FLOAT,,,1,,0.1,,Pump_Rack_Humidity,
37549,1,,,,,FLOAT,,,1,,0.1,,Pump_Rack_Temperature1_Inlet,DegreesC
37550,1,,,,,FLOAT,,,1,,0.1,,Pump_Rack_Temperature2_Outlet,DegreesC
37551,1,,,,,FLOAT,,,1,,0.1,,Pump_Rack_Pressure1_Inlet,Pascals
37552,1,,,,,FLOAT,,,1,,0.1,,Pump_Rack_Pressure2_Pump1_In,Pascals
37553,1,,,,,FLOAT,,,1,,0.1,,Pump_Rack_Pressure3_Pump2_In,Pascals
37554,1,,,,,FLOAT,,,1,,0.1,,Pump_Rack_Pressure4_Pump3_In,Pascals
37555,1,,,,,FLOAT,,,1,,0.1,,Pump_Rack_Pressure5_Pump1_Out,Pascals
37556,1,,,,,FLOAT,,,1,,0.1,,Pump_Rack_Pressure6_Pump2_Out,Pascals
37557,1,,,,,FLOAT,,,1,,0.1,,Pump_Rack_Pressure7_Pump3_Out,Pascals
37558,1,,,,,FLOAT,,,1,,0.1,,Pump_Rack_Pressure8_Pre_Filter,Pascals
37559,1,,,,,FLOAT,,,1,,0.1,,Pump_Rack_Pressure9_Outlet,Pascals
37566,1,,,,,FLAGS,,,,,,,Pump_Rack_Status,
,,,,0,Pump_Rack_pH_Status,,,,,,,,,
,,,,1,Pump_Rack_Conductivity_Status,,,,,,,,,
,,,,2,Pump_Rack_Humidity_Status,,,,,,,,,
37567,1,,,,,FLAGS,,,,,,,Pump_Rack_Temperature_Status,
,,,,0,Pump_Rack_Temperature1_Status,,,,,,,,,
,,,,1,Pump_Rack_Temperature2_Status,,,,,,,,,
37568,1,,,,,FLAGS,,,,,,,Pump_Rack_Pressure_Status,
,,,,0,Pump_Rack_Pressure1_Inlet_Status,,,,,,,,,
,,,,1,Pump_Rack_Pressure2_Pump1_In_Status,,,,,,,,,
,,,,2,Pump_Rack_Pressure3_Pump2_In_Status,,,,,,,,,
,,,,3,Pump_Rack_Pressure4_Pump3_In_Status,,,,,,,,,
,,,,4,Pump_Rack_Pressure5_Pump1_Out_Status,,,,,,,,,
,,,,5,Pump_Rack_Pressure6_Pump2_Out_Status,,,,,,,,,
,,,,6,Pump_Rack_Pressure7_Pump3_Out_Status,,,,,,,,,
,,,,7,Pump_Rack_Pressure8_Pre_Filter_Status,,,,,,,,,
,,,,8,Pump_Rack_Pressure9_Outlet_Status,,,,,,,,,
37575,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_1_Pressure1_Inlet,Pascals
37576,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_1_Pressure2_Pre_Filter,Pascals
37577,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_1_Pressure3_Outlet,Pascals
37578,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_1_Temperature1_Inlet,DegreesC
37579,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_1_Temperature2_Outlet,DegreesC
37580,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_1_NTC1_In,DegreesC
37581,1,,,,,FLOAT,,,1,,0.1,,Fan_Rack_1_NTC2_Out,DegreesC
37588,1,,,,,FLAGS,,,,,,,Fan_Rack_1_Pressure_Status,
,,,,0,Fan_Rack_1_Pressure1_Inlet_Status,,,,,,,,,
,,,,1,Fan_Rack_1_Pressure2_Pre_Filter_Status,,,,,,,,,
,,,,2,Fan_Rack_1_Pressure3_Outlet_Status,,,,,,,,,
37589,1,,,,,FLAGS,,,,,,,Fan_Rack_1_Temperature_Status,
,,,,0,Fan_Rack_1_Temperature1_Inlet_Status,,,,,,,,,
,,,,1,Fan_Rack_1_Temperature2_Outlet_Status,,,,,,,,,
,,,,2,Fan_Rack_1_NTC1_In_Status,,,,,,,,,
,,,,3,Fan_Rack_1_NTC2_Out_Status,,,,,,,,,
