begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
37267,1,,,,,FLOAT,,,0,,0.1,,SmartMeter_Pump_Rack_Voltage_of_A_phase,Volts
37268,1,,,,,FLOAT,,,0,,0.1,,SmartMeter_Pump_Rack_Voltage_of_B_phase,Volts
37269,1,,,,,FLOAT,,,0,,0.1,,SmartMeter_Pump_Rack_Voltage_of_C_phase,Volts
37270,1,,,,,FLOAT,,,0,,0.01,,SmartMeter_Pump_Rack_Current_of_A_phase,Amperes
37271,1,,,,,FLOAT,,,0,,0.01,,SmartMeter_Pump_Rack_Current_of_B_phase,Amperes
37272,1,,,,,FLOAT,,,0,,0.01,,SmartMeter_Pump_Rack_Current_of_C_phase,Amperes
37273,1,,,,,FLOAT,,,0,,0.1,,SmartMeter_Pump_Rack_Power_Frequency,
37274,1,,,,,FLOAT,,,0,,0.1,,SmartMeter_Pump_Rack_Voltage_between_AB,Volts
37275,1,,,,,FLOAT,,,0,,0.1,,SmartMeter_Pump_Rack_Voltage_between_CB,Volts
37276,1,,,,,FLOAT,,,0,,0.1,,SmartMeter_Pump_Rack_Voltage_between_AC,Volts
37277,1,,,,,FLOAT,,,0,,0.001,,SmartMeter_Pump_Rack_Power_factor_of_A_phase,
37278,1,,,,,FLOAT,,,0,,0.001,,SmartMeter_Pump_Rack_Power_factor_of_B_phase,
37279,1,,,,,FLOAT,,,0,,0.001,,SmartMeter_Pump_Rack_Power_factor_of_C_phase,
37280,1,,,,,FLOAT,,,0,,0.001,,SmartMeter_Pump_Rack_Total_power_factor,
37281,1,,,,,FLOAT,,,0,,0.01,,SmartMeter_Pump_Rack_THDIa,
37282,1,,,,,FLOAT,,,0,,0.01,,SmartMeter_Pump_Rack_THDIb,
37283,1,,,,,FLOAT,,,0,,0.01,,SmartMeter_Pump_Rack_THDIc,
37284,2,,,,,FLOAT,,,0,,0.001,,SmartMeter_Pump_Rack_Total_active_power,Watts
37286,2,,,,,FLOAT,,,0,True,0.001,,SmartMeter_Pump_Rack_Total_reactive_power,
37288,2,,,,,FLOAT,,,0,,0.001,,SmartMeter_Pump_Rack_Total_apparent_power,Watts
37290,1,,,,,INTEGER,,,,,,,SmartMeter_Pump_Rack_Disconnected,
37291,2,,,,,FLOAT,,,0,,0.001,,SmartMeter_Pump_Rack_Active_Power_Phase_A,Watts
37293,2,,,,,FLOAT,,,0,,0.001,,SmartMeter_Pump_Rack_Active_Power_Phase_B,Watts
37295,2,,,,,FLOAT,,,0,,0.001,,SmartMeter_Pump_Rack_Active_Power_Phase_C,Watts
37297,2,,,,,FLOAT,,,0,True,0.001,,SmartMeter_Pump_Rack_Reactive_Power_Phase_A,
37299,2,,,,,FLOAT,,,0,True,0.001,,SmartMeter_Pump_Rack_Reactive_Power_Phase_B,
37301,2,,,,,FLOAT,,,0,True,0.001,,SmartMeter_Pump_Rack_Reactive_Power_Phase_C,
37303,2,,,,,FLOAT,,,0,,0.001,,SmartMeter_Pump_Rack_Apparent_Power_Phase_A,Watts
37305,2,,,,,FLOAT,,,0,,0.001,,SmartMeter_Pump_Rack_Apparent_Power_Phase_B,Watts
37307,2,,,,,FLOAT,,,0,,0.001,,SmartMeter_Pump_Rack_Apparent_Power_Phase_C,Watts
37309,1,,,,,FLOAT,,,0,,0.01,,SmartMeter_Pump_Rack_THD_Va,
37310,1,,,,,FLOAT,,,0,,0.01,,SmartMeter_Pump_Rack_THD_Vb,
37311,1,,,,,FLOAT,,,0,,0.01,,SmartMeter_Pump_Rack_THD_Vc,
37331,1,,,,,FLOAT,,,0,,0.1,,SmartMeter_Fan_Rack_1_Voltage_of_A_phase,Volts
