begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
37074,1,,,,,INTEGER,,,,,,,UPS_Pump_Rack_Warning_Information_1,
37075,1,,,,,INTEGER,,,,,,,UPS_Pump_Rack_Warning_Information_2,
37076,1,,,,,INTEGER,,,,,,,UPS_Pump_Rack_Warning_Information_3,
37077,1,,,,,INTEGER,,,,,,,UPS_Pump_Rack_Warning_Information_4,
37078,1,,,,,FLOAT,,,0,,0.1,,UPS_Pump_Rack_P_Battery_Voltage,Volts
37079,1,,,,,FLOAT,,,0,,1,,UPS_Pump_Rack_P_Battery_Discharging_Current,Amperes
37080,1,,,,,FLOAT,,,0,,1,,UPS_Pump_Rack_P_Battery_Charging_Current,Amperes
37081,1,,,,,FLOAT,,,0,,1,,UPS_Pump_Rack_Battery_Capacity,AmpereHours
37082,1,,,,,FLOAT,,,0,,1,,UPS_Pump_Rack_Battery_Remain_time,
37083,1,,,,,FLOAT,,,0,,0.1,,UPS_Pump_Rack_N_Battery_Voltage,Volts
37084,1,,,,,FLOAT,,,0,,1,,UPS_Pump_Rack_N Battery_Discharging_Current,Amperes
37085,1,,,,,FLOAT,,,0,,1,,UPS_Pump_Rack_N_Battery_Charging_Current,Amperes
37086,1,,,,,FLOAT,,,0,,1,,UPS_Pump_Rack_Temperature_PFC,DegreesC
37087,1,,,,,FLOAT,,,0,,1,,UPS_Pump_Rack_Temperature_INV,DegreesC
37088,1,,,,,FLOAT,,,0,,1,,UPS_Pump_Rack_Temperature_Bypass,DegreesC
37089,1,,,,,FLOAT,,,0,,1,,UPS_Pump_Rack_Max_Temperature,DegreesC
37090,1,,,,,FLOAT,,,0,,1,,UPS_Pump_Rack_Mode_Information,
37091,1,,,,,FLOAT,,,0,,1,,UPS_Pump_Rack_Over_Temperature_Fault_Recovery_Value,DegreesC
37092,1,,,,,FLOAT,,,0,,1,,UPS_Pump_Rack_Over_Temperature_Warning_Trigger_Value,DegreesC
37093,1,,,,,FLOAT,,,0,,1,,UPS_Pump_Rack_Over_Temperature_Warning_Recovery_Value,DegreesC
37094,1,,,,,FLOAT,,,0,,1,,UPS_Pump_Rack_Fault_Information,
37095,1,,,,,FLOAT,,,0,,1,,UPS_Pump_Rack_Battery_Shutdown_Voltage,Volts
37096,1,,,,,FLOAT,,,0,,1,,UPS_Pump_Rack_Battery_Low_Voltage,Volts
37097,1,,,,,FLOAT,,,0,,1,,UPS_Pump_Rack_Battery_High_Voltage,Volts
37114,5,,,,,STRING,,,,,,,UPS_Pump_Rack_LCD_FW_Version,
37121,1,,,,,FLOAT,,,0,,1,,UPS_Pump_Rack_Battery_Temperature,DegreesC
37135,1,,,,,INTEGER,,,,,,,UPS_Fan_Rack_1_Warning_Information_1,
37136,1,,,,,INTEGER,,,,,,,UPS_Fan_Rack_1_Warning_Information_2,
37137,1,,,,,INTEGER,,,,,,,UPS_Fan_Rack_1_Warning_Information_3,
37138,1,,,,,INTEGER,,,,,,,UPS_Fan_Rack_1_Warning_Information_4,
37139,1,,,,,FLOAT,,,0,,0.1,,UPS_Fan_Rack_1_P_Battery_Voltage,Volts
37140,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_1_P_Battery_Discharging_Current,Amperes
37141,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_1_P_Battery_Charging_Current,Amperes
37142,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_1_Battery_Capacity,AmpereHours
37143,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_1_Battery_Remain_time,
37144,1,,,,,FLOAT,,,0,,0.1,,UPS_Fan_Rack_1_N_Battery_Voltage,Volts
37145,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_1_N Battery_Discharging_Current,Amperes
37146,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_1_N_Battery_Charging_Current,Amperes
37147,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_1_Temperature_PFC,DegreesC
37148,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_1_Temperature_INV,DegreesC
37149,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_1_Temperature_Bypass,DegreesC
37150,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_1_Max_Temperature,DegreesC
37151,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_1_Mode_Information,DegreesC
37152,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_1_Over_Temperature_Fault_Recovery_Value,DegreesC
37153,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_1_Over_Temperature_Warning_Trigger_Value,DegreesC
37154,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_1_Over_Temperature_Warning_Recovery_Value,DegreesC
37155,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_1_Fault_Information,
37156,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_1_Battery_Shutdown_Voltage,Volts
37157,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_1_Battery_Low_Voltage,Volts
37158,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_1_Battery_High_Voltage,Volts
37175,5,,,,,STRING,,,,,,,UPS_Fan_Rack_1_LCD_FW_Version,
37182,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_1_Battery_Temperature,DegreesC
37201,1,,,,,INTEGER,,,,,,,UPS_Fan_Rack_2_Warning_Information_1,
37202,1,,,,,INTEGER,,,,,,,UPS_Fan_Rack_2_Warning_Information_2,
37203,1,,,,,INTEGER,,,,,,,UPS_Fan_Rack_2_Warning_Information_3,
37204,1,,,,,INTEGER,,,,,,,UPS_Fan_Rack_2_Warning_Information_4,
37205,1,,,,,FLOAT,,,0,,0.1,,UPS_Fan_Rack_2_P_Battery_Voltage,Volts
37206,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_P_Battery_Discharging_Current,Amperes
37207,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_P_Battery_Charging_Current,Amperes
37208,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_Battery_Capacity,AmpereHours
37209,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_Battery_Remain_time,
37210,1,,,,,FLOAT,,,0,,0.1,,UPS_Fan_Rack_2_N_Battery_Voltage,Volts
37211,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_N Battery_Discharging_Current,Amperes
37212,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_N_Battery_Charging_Current,Amperes
