D6,MAC1LINK,SCU80[0]=1,GPIOA0,,
B5,MAC2LINK,SCU80[1]=1,GPIOA1,,
A4,TIMER3,SCU80[2]=1,GPIOA2,,
E6,TIMER4,SCU80[3]=1,GPIOA3,,
C5,SCL9,SCU90[22]=1,TIMER5,SCU80[4]=1,GPIOA4
B4,SDA9,SCU90[22]=1,TIMER6,SCU80[5]=1,GPIOA5
A3,MDC2,SCU90[2]=1,TIMER7,SCU80[6]=1,GPIOA6
D5,MDIO2,SCU90[2]=1,TIMER8,SCU80[7]=1,GPIOA7
J21,SALT1,SCU80[8]=1,GPIOB0,,
J20,SALT2,SCU80[9]=1,GPIOB1,,
H18,SALT3,SCU80[10]=1,GPIOB2,,
F18,SALT4,SCU80[11]=1,GPIOB3,,
E19,LPCRST#,SCU80[12]=1 | Strap[14]=1,GPIOB4,,
H19,LPCPD#,SCU80[13]=1 & SIORD30[1]=0,LPCSMI#,SCU80[13]=1 & SIORD30[1]=1,GPIOB5
H20,LPCPME#,SCU80[14]=1,GPIOB6,,
E18,EXTRST#,SCU80[15]=1 & SCU90[31]=0 & SCU3C[3]=1,SPICS1#,SCU80[15]=1 & SCU90[31]=1,GPIOB7
C4,SD1CLK,SCU90[0]=1,SCL10,SCU90[23]=1,GPIOC0
B3,SD1CMD,SCU90[0]=1,SDA10,SCU90[23]=1,GPIOC1
A2,SD1DAT0,SCU90[0]=1,SCL11,SCU90[24]=1,GPIOC2
E5,SD1DAT1,SCU90[0]=1,SDA11,SCU90[24]=1,GPIOC3
D4,SD1DAT2,SCU90[0]=1,SCL12,SCU90[25]=1,GPIOC4
C3,SD1DAT3,SCU90[0]=1,SDA12,SCU90[25]=1,GPIOC5
B2,SD1CD#,SCU90[0]=1,SCL13,SCU90[26]=1,GPIOC6
A1,SD1WP#,SCU90[0]=1,SDA13,SCU90[26]=1,GPIOC7
,,,,,
A18,SD2CLK,SCU90[1]=1,GPID0(In),SCU8C[8]=1 | Strap[21]=1,GPIOD0
D16,SD2CMD,SCU90[1]=1,GPID0(Out),SCU8C[8]=1 | Strap[21]=1,GPIOD1
B17,SD2DAT0,SCU90[1]=1,GPID2(In),SCU8C[9]=1 | Strap[21]=1,GPIOD2
A17,SD2DAT1,SCU90[1]=1,GPID2(Out),SCU8C[9]=1 | Strap[21]=1,GPIOD3
C16,SD2DAT2,SCU90[1]=1,GPID4(In),SCU8C[10]=1 | Strap[21]=1,GPIOD4
B16,SD2DAT3,SCU90[1]=1,GPID4(Out),SCU8C[10]=1 | Strap[21]=1,GPIOD5
A16,SD2CD#,SCU90[1]=1,GPID6(In),SCU8C[11]=1 | Strap[21]=1,GPIOD6
E15,SD2WP#,SCU90[1]=1,GPID6(Out),SCU8C[11]=1 | Strap[21]=1,GPIOD7
D15,NCTS3,SCU80[16]=1,GPIE0(In),SCU8C[12]=1 | Strap[22]=1,GPIOE0
C15,NDCD3,SCU80[17]=1,GPIE0(Out),SCU8C[12]=1 | Strap[22]=1,GPIOE1
B15,NDSR3,SCU80[18]=1,GPIE2(In),SCU8C[13]=1 | Strap[22]=1,GPIOE2
A15,NRI3,SCU80[19]=1,GPIE2(Out),SCU8C[13]=1 | Strap[22]=1,GPIOE3
E14,NDTR3,SCU80[20]=1,GPIE4(In),SCU8C[14]=1 | Strap[22]=1,GPIOE4
D14,NRTS3,SCU80[21]=1,GPIE4(Out),SCU8C[14]=1 | Strap[22]=1,GPIOE5
C14,TXD3,SCU80[22]=1,GPIE6(In),SCU8C[15]=1 | Strap[22]=1,GPIOE6
B14,RXD3,SCU80[23]=1,GPIE6(Out),SCU8C[15]=1 | Strap[22]=1,GPIOE7
D18,NCTS4,SCU80[24]=1,GPIOF0,,
B19,NDCD4,SCU80[25]=1,SIOPBI#,SCUA4[12]=1 | Strap[19]=0,GPIOF1
A20,NDSR4,SCU80[26]=1,SIOPWRGD,SCUA4[13]=1 | Strap[19]=0,GPIOF2
D17,NRI4,SCU80[27]=1,SIOPBO#,SCUA4[14]=1 | Strap[19]=0,GPIOF3
B18,NDTR4,SCU80[28]=1,GPIOF4,,
A19,NRTS4,SCU80[29]=1,SIOSCI#,SCUA4[15]=1 | Strap[19]=0,GPIOF5
E16,TXD4,SCU80[30]=1,GPIOF6,,
C17,RXD4,SCU80[31]=1,GPIOF7,,
A14,SGPSCK,SCU84[0]=1,GPIOG0,,
E13,SGPSLD,SCU84[1]=1,GPIOG1,,
D13,SGPSI0,SCU84[2]=1,GPIOG2,,
C13,SGPSI1,SCU84[3]=1,GPIOG3,,
,,,,,
B13,OSCCLK,SCU2C[1]=1,WDTRST1,SCU84[4]=1,GPIOG4
Y21,USBCKI,Strap[23]=1,WDTRST2,SCU84[5]=1,GPIOG5
AA22,FLBUSY#,SCU84[6]=1,GPIOG6,,
U18,FLWP#,SCU84[7]=1,GPIOG7,,
A8,ROMD8,"SCU90[6]=1 | Strap[4,1:0]=100",NCTS6,SCU90[7]=1,GPIOH0
C7,ROMD9,"SCU90[6]=1 | Strap[4,1:0]=100",NDCD6,SCU90[7]=1,GPIOH1
B7,ROMD10,"SCU90[6]=1 | Strap[4,1:0]=100",NDSR6,SCU90[7]=1,GPIOH2
A7,ROMD11,"SCU90[6]=1 | Strap[4,1:0]=100",NRI6,SCU90[7]=1,GPIOH3
D7,ROMD12,"SCU90[6]=1 | Strap[4,1:0]=100",NDTR6,SCU90[7]=1,GPIOH4
B6,ROMD13,"SCU90[6]=1 | Strap[4,1:0]=100",NRTS6,SCU90[7]=1,GPIOH5
A6,ROMD14,"SCU90[6]=1 | Strap[4,1:0]=100",TXD6,SCU90[7]=1,GPIOH6
E7,ROMD15,"SCU90[6]=1 | Strap[4,1:0]=100",RXD6,SCU90[7]=1,GPIOH7
C22,SYSCS#,Strap[13]=1,GPIOI0,,
G18,SYSCK,Strap[13]=1,GPIOI1,,
D19,SYSDO,Strap[13]=1,GPIOI2,,
C20,SYSDI,Strap[13]=1,GPIOI3,,
B22,SPICS0#,Strap[13:12]!=0,VBCS#,Strap[5]=1,GPIOI4
G19,SPICK,Strap[13:12]!=0,VBCK,Strap[5]=1,GPIOI5
C18,SPIDO,Strap[13:12]!=0,VBDO,Strap[5]=1,GPIOI6
E20,SPIDI,Strap[13:12]!=0,VBDI,Strap[5]=1,GPIOI7
J5,SGPMCK,SCU84[8]=1,GPIOJ0,,
J4,SGPMLD,SCU84[9]=1,GPIOJ1,,
K5,SGPMO,SCU84[10]=1,GPIOJ2,,
J3,SGPMI,SCU84[11]=1,GPIOJ3,,
T4,VGAHS,SCU84[12]=1,GPIOJ4,,
U2,VGAVS,SCU84[13]=1,GPIOJ5,,
T2,DDCCLK,SCU84[14]=1,GPIOJ6,,
T1,DDCDAT,SCU84[15]=1,GPIOJ7,,
,,,,,
E3,SCL5,SCU90[18]=1,GPIOK0,,
D2,SDA5,SCU90[18]=1,GPIOK1,,
C1,SCL6,SCU90[19]=1,GPIOK2,,
F4,SDA6,SCU90[19]=1,GPIOK3,,
E2,SCL7,SCU90[20]=1,GPIOK4,,
D1,SDA7,SCU90[20]=1,GPIOK5,,
