E13,GPIOA3_TIMER4,Out,BMC_eMMC_RST_N,Signal to reset eMMC flash
U19,GPIOS1_BMCINT,Out,BMC_BCM5396_MUX_SEL,
R18,GPIOS2_SALT5,Out,BMC_P1220_SYS_OK,
P18,GPIOS3_SALT6,In,BMC_PWR_OK,
R19,GPIOS4,Out,BMC_UART_SEL2,
W20,GPIOS5,Out,BMC_UART_SEL5,
U20,GPIOS6,Out,BMC9_9548_0_RST,
AA20,GPIOS7,Out,BMC12_9548_2_RST,
Y1,GPIOM0_VPIB2_NCTS2,Out,BMC_CPLD_GPIO_SPARE1,Spare Reset signal connected to CPLD
AB2,GPIOM1_VPIB3_NDCD2,Out,BMC_CPLD_GPIO_SPARE2,Spare Reset signal connected to CPLD
AA1,GPIOM2_VPIB4_NDSR2,Out,BMC_CPLD_GPIO_SPARE3,Spare Reset signal connected to CPLD
Y2,GPIOM3_VPIB5_NRI2,Out,BMC_CPLD_GPIO_SPARE4,Spare Reset signal connected to CPLD
AA2,GPIOM4_VPIB6_NDTR2,Out,BMC_CPLD_GPIO_SPARE5,Spare Reset signal connected to CPLD
J19,GPIOF0_NCTS4,Out,BMC10_9548_1_RST,
A21,GPIOF4_NDTR4,Out,CPU_CATERR_MSMI,
Y20,GPIOZ0_SIOPBI_N_NORA0,Out,BMC_SPI_1_WP_N,
AB20,GPIOZ1_SIOPWRGD_NORA1,Out,BMC_SPI_2_WP_N,
U21,GPIOZ4_NORA4,In,SCM_USB_PRSNT,
W22,GPIOZ5_NORA5,Out,BMC_IN_P1220,
Y22,GPIOAA2_NORD2_SALT9,Out,BMC_SCM_CPLD_TMS,"SCM CPLD JTAG upgrade interface,BMC output to CPLD TMS"
AA22,GPIOAA3_NORD3_SALT10,Out,BMC_SCM_CPLD_TCK,"SCM CPLD JTAG upgrade interface,BMC output to CPLD TCK"
U22,GPIOAA4_NORD4_SALT11,Out,BMC_SCM_CPLD_TDI,"SCM CPLD JTAG upgrade interface,BMC output to CPLD TDI"
T20,GPIOAA5_NORD5_SALT12,In,BMC_SCM_CPLD_TDO,"SCM CPLD JTAG upgrade interface,BMC input to CPLD TDO"
P19,GPIOAA7_NORD7_SALT14,Out,BMC_SCM_CPLD_EN,"SCM CPLD JTAG select pin, 0: SCM CPLD JTAG connect to BMC
1(Default): SCM CPLD JTAG connect to debug connect"
U5,GPIOO0_TACH0_VPIG8,Out,BMC_FCM_T_MUX_SEL,"0: default value for HW debug 1: BMC can upgrade top FANCPLD"
U4,GPIOO1_TACH1_VPIG9,Out,BMC_SYSCPLD_JTAG_MUX_SEL,"0: default value for HW debug
1: BMC can upgrade top SYSCPLD and SPIMUXCPLD"
AB4,GPIOO3_TACH3,Out,BMC_FCM_B_MUX_SEL,"0: default value for HW debug 1: BMC can upgrade buttom FANCPLD"
